,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,Adj Close
0,2021-03-08,3844.389892578125,3881.06005859375,3819.25,3821.35009765625,5852240000.0,0.0,0.0,^GSPC,
1,2021-03-09,3851.929931640625,3903.760009765625,3851.929931640625,3875.43994140625,5496340000.0,0.0,0.0,^GSPC,
2,2021-03-10,3891.989990234375,3917.35009765625,3885.72998046875,3898.81005859375,5827250000.0,0.0,0.0,^GSPC,
3,2021-03-11,3915.5400390625,3960.27001953125,3915.5400390625,3939.340087890625,5300010000.0,0.0,0.0,^GSPC,
4,2021-03-12,3924.52001953125,3944.989990234375,3915.2099609375,3943.340087890625,4469240000.0,0.0,0.0,^GSPC,
5,2021-03-15,3942.9599609375,3970.080078125,3923.5400390625,3968.93994140625,4882190000.0,0.0,0.0,^GSPC,
6,2021-03-16,3973.590087890625,3981.0400390625,3953.43994140625,3962.7099609375,4604870000.0,0.0,0.0,^GSPC,
7,2021-03-17,3949.570068359375,3983.8701171875,3935.739990234375,3974.1201171875,4541620000.0,0.0,0.0,^GSPC,
8,2021-03-18,3953.5,3969.6201171875,3910.860107421875,3915.4599609375,4043170000.0,0.0,0.0,^GSPC,
9,2021-03-19,3913.139892578125,3930.1201171875,3886.75,3913.10009765625,7725050000.0,0.0,0.0,^GSPC,
10,2021-03-22,3916.47998046875,3955.31005859375,3914.159912109375,3940.590087890625,4311380000.0,0.0,0.0,^GSPC,
11,2021-03-23,3937.60009765625,3949.1298828125,3901.570068359375,3910.52001953125,4645340000.0,0.0,0.0,^GSPC,
12,2021-03-24,3919.929931640625,3942.080078125,3889.070068359375,3889.139892578125,4766990000.0,0.0,0.0,^GSPC,
13,2021-03-25,3879.340087890625,3919.5400390625,3853.5,3909.52001953125,4940800000.0,0.0,0.0,^GSPC,
14,2021-03-26,3917.1201171875,3978.18994140625,3917.1201171875,3974.5400390625,5467850000.0,0.0,0.0,^GSPC,
15,2021-03-29,3969.31005859375,3981.830078125,3943.25,3971.090087890625,4619840000.0,0.0,0.0,^GSPC,
16,2021-03-30,3963.340087890625,3968.010009765625,3944.35009765625,3958.550048828125,4103570000.0,0.0,0.0,^GSPC,
17,2021-03-31,3967.25,3994.409912109375,3966.97998046875,3972.889892578125,4564980000.0,0.0,0.0,^GSPC,
18,2021-04-01,3992.780029296875,4020.6298828125,3992.780029296875,4019.8701171875,4151240000.0,0.0,0.0,^GSPC,
19,2021-04-05,4034.43994140625,4083.419921875,4034.43994140625,4077.909912109375,3999760000.0,0.0,0.0,^GSPC,
20,2021-04-06,4075.570068359375,4086.22998046875,4068.139892578125,4073.93994140625,4027880000.0,0.0,0.0,^GSPC,
